Rk,School,Tourney Wins,W,L,W-L%,"SRS
▼",SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
148,Louisiana-Monroe,99,19,16,0.543,0.81,-1.96,9,9,14,3,4,12,2773,2637,1425,922,2029,0.454,353,891,0.396,576,737,0.782,317,1176,498,206,78,398,545
149,Miami (OH),99,15,17,0.469,0.77,2.31,7,11,10,5,4,10,2267,2233,1285,777,1847,0.421,269,832,0.323,444,626,0.709,353,1190,349,194,87,413,581
150,Samford,99,17,16,0.515,0.69,-2.03,6,12,11,6,5,9,2583,2487,1355,921,1951,0.472,254,687,0.37,487,666,0.731,316,1225,461,238,127,463,560
151,Texas-San Antonio,99,17,15,0.531,0.69,0.05,11,7,11,4,5,7,2481,2407,1295,896,2068,0.433,294,855,0.344,395,536,0.737,323,1216,420,213,82,402,581
152,Austin Peay,99,22,11,0.667,0.59,-4.41,13,5,10,2,8,7,2712,2413,1335,973,2060,0.472,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,596
153,Bucknell,99,21,12,0.636,0.59,-2.93,13,5,12,3,7,8,2534,2418,1325,867,1928,0.45,311,885,0.351,489,653,0.749,286,1154,519,173,116,409,627
154,Duquesne,99,19,13,0.594,0.53,-0.63,10,8,14,4,4,6,2351,2314,1295,810,1894,0.428,271,841,0.322,460,663,0.694,379,1133,442,250,151,451,580
155,Eastern Michigan,99,15,17,0.469,0.4,4.43,9,9,11,7,4,10,2203,2213,1295,818,1823,0.449,187,634,0.295,380,604,0.629,400,1155,369,237,143,442,529
156,Alabama-Birmingham,99,20,15,0.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,1410,906,2003,0.452,234,694,0.337,424,630,0.673,367,1279,401,218,82,399,578
157,Bradley NCAA,0,20,15,0.571,-0.08,-0.9,9,9,10,6,5,8,2329,2285,1405,812,1874,0.433,240,653,0.368,465,672,0.692,313,1195,423,186,132,440,617
